id,submit_time,duration,source,source_detail,ip,gender,grade,income_source,monthly_budget,consume_food,consume_social,consume_fashion,consume_study,consume_digital,decision_style,priority_factor,hobby_spend,mbti_ei,mbti_sn,mbti_tf,mbti_jp,friend_pref,18. 如果校园内有一款基于性格和消费观的“搭子”推荐系统，你的态度是?,scene_pref,duration_sec,is_dirty,mbti_str,cluster
1,2026/5/25 11:32:43,42秒,微信,,223.104.122.148(湖北-武汉),1,2,1,3,2,1,1,2,2,2,1,2,1,2,2,2,3,2,4,42,False,INFP,1
2,2026/5/25 11:33:43,109秒,微信,,223.104.122.193(湖北-武汉),1,2,1,2,2,1,1,1,2,2,1,1,3,2,2,2,2,2,4,109,False,XNFP,1
3,2026/5/25 11:38:11,42秒,微信,,223.104.196.85(山东-济宁),1,2,1,3,3,2,1,3,2,2,1,2,1,1,1,1,1,1,1,42,False,ISTJ,3
4,2026/5/25 11:38:44,146秒,微信,,112.224.164.145(山东-青岛),1,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,3,2,4,146,False,ISFP,1
5,2026/5/25 11:38:52,66秒,微信,,36.248.233.11(福建-厦门),1,2,2,4,4,2,2,3,3,2,1,1,3,1,2,1,2,2,2,66,False,XSFJ,0
6,2026/5/25 11:41:07,45秒,微信,,111.181.130.105(湖北-恩施),1,2,1,3,3,4,2,4,2,3,3,2,1,1,2,2,3,2,2,45,False,ISFP,3
7,2026/5/25 11:41:19,126秒,微信,,223.104.119.129(湖北-咸宁),2,2,2,4,3,2,2,3,1,4,2,1,3,2,1,2,2,3,2,126,False,XNTP,2
8,2026/5/25 11:41:42,81秒,微信,,111.181.25.119(湖北-鄂州),2,2,2,3,3,4,1,1,4,4,2,2,1,2,1,1,2,2,2,81,False,INTJ,0
11,2026/5/25 11:45:08,38秒,微信,,223.104.123.102(湖北-宜昌),1,2,2,3,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,38,False,ISFJ,2
12,2026/5/25 11:45:38,174秒,微信,,223.104.122.214(湖北-武汉),2,1,2,3,3,3,2,3,1,2,1,2,3,2,2,1,3,2,3,174,False,XNFJ,3
13,2026/5/25 11:45:48,94秒,手机提交,直接访问,111.181.0.200(湖北-武汉),1,2,2,2,2,2,1,3,2,2,1,1,2,1,2,1,2,2,4,94,False,ESFJ,1
15,2026/5/25 11:46:49,54秒,手机提交,直接访问,61.242.135.13(湖北-武汉),1,2,2,2,3,2,1,2,2,2,1,1,1,1,1,1,1,1,4,54,False,ISTJ,1
16,2026/5/25 11:47:19,67秒,手机提交,直接访问,111.183.68.55(湖北-黄冈),2,2,1,2,3,3,1,1,2,2,1,2,1,2,2,1,1,3,2,67,False,INFJ,1
17,2026/5/25 11:47:32,95秒,微信,,223.104.123.49(湖北-宜昌),1,1,1,2,3,3,3,1,3,2,1,1,2,1,2,1,1,2,2,95,False,ESFJ,2
18,2026/5/25 11:47:35,90秒,微信,,111.181.61.75(湖北-鄂州),1,2,1,3,3,4,4,1,2,1,2,1,2,2,2,1,3,1,4,90,False,ENFJ,2
19,2026/5/25 11:48:17,125秒,微信,,175.2.78.189(湖南-娄底),1,1,2,3,3,4,1,1,2,1,1,1,1,2,2,1,3,1,1,125,False,INFJ,2
20,2026/5/25 11:48:29,75秒,手机提交,直接访问,111.181.88.90(湖北-鄂州),1,2,2,3,2,3,1,3,3,1,2,1,1,2,1,2,3,3,4,75,False,INTP,2
21,2026/5/25 11:48:34,40秒,微信,,183.95.249.128(湖北-武汉),1,2,1,2,3,2,2,3,2,2,1,1,1,1,1,1,1,1,1,40,False,ISTJ,2
22,2026/5/25 11:48:42,83秒,微信,,61.242.129.10(湖北-武汉),1,2,2,4,4,4,4,3,3,2,3,3,3,2,2,2,2,3,3,83,False,XNFP,3
23,2026/5/25 11:48:42,145秒,手机提交,直接访问,116.162.92.58(湖南-益阳),2,2,1,4,3,4,2,1,4,2,2,2,1,2,2,2,2,2,3,145,False,INFP,0
24,2026/5/25 11:48:45,124秒,微信,,111.181.109.63(湖北-鄂州),2,2,1,3,3,3,3,3,2,4,2,1,3,1,2,2,3,2,2,124,False,XSFP,2
25,2026/5/25 11:49:51,90秒,微信,,223.104.122.201(湖北-武汉),2,2,2,3,3,2,2,1,1,2,2,1,3,1,2,2,2,2,2,90,False,XSFP,2
26,2026/5/25 11:50:12,132秒,手机提交,直接访问,36.132.255.158(黑龙江-哈尔滨),2,1,1,5,4,1,2,3,4,2,2,2,1,1,2,2,3,2,4,132,False,ISFP,0
27,2026/5/25 11:50:28,233秒,手机提交,直接访问,202.103.47.84(湖北-十堰),2,2,2,2,2,1,1,3,4,2,1,2,1,1,2,2,3,3,4,233,False,ISFP,1
28,2026/5/25 11:51:52,132秒,手机提交,直接访问,223.104.122.199(湖北-武汉),1,2,2,3,2,1,2,1,4,2,2,2,1,1,2,2,3,2,4,132,False,ISFP,1
29,2026/5/25 11:51:54,63秒,手机提交,直接访问,183.95.251.224(湖北-武汉),1,2,1,4,3,1,1,1,3,2,2,2,3,2,1,2,3,2,3,63,False,XNTP,0
30,2026/5/25 11:53:07,74秒,手机提交,直接访问,223.104.122.206(湖北-武汉),1,2,1,2,2,1,1,2,2,2,1,1,1,1,2,2,2,2,4,74,False,ISFP,1
32,2026/5/25 11:54:51,86秒,手机提交,直接访问,106.33.181.69(河南-郑州),1,2,1,4,3,3,2,2,2,2,1,2,3,1,1,1,3,2,4,86,False,XSTJ,0
33,2026/5/25 11:55:00,92秒,手机提交,直接访问,171.218.173.8(四川-成都),1,2,1,4,3,2,1,1,2,2,1,3,3,1,2,2,3,3,4,92,False,XSFP,0
34,2026/5/25 11:56:00,75秒,微信,,61.242.134.157(湖北-武汉),1,1,2,3,3,3,2,1,2,1,1,1,3,1,1,1,2,1,2,75,False,XSTJ,2
35,2026/5/25 11:56:12,67秒,手机提交,直接访问,111.181.3.163(湖北-鄂州),1,1,1,5,4,3,2,1,4,2,2,2,3,2,1,2,2,2,4,67,False,XNTP,0
36,2026/5/25 11:59:35,64秒,手机提交,直接访问,61.242.153.58(湖北-襄阳),1,2,1,4,4,4,1,2,3,2,1,2,2,1,2,1,3,1,3,64,False,ESFJ,0
37,2026/5/25 12:01:03,150秒,手机提交,直接访问,117.152.180.160(湖北-孝感),1,3,1,1,1,2,1,2,2,2,1,2,3,1,1,2,2,2,1,150,False,XSTP,1
40,2026/5/25 12:07:07,117秒,微信,,223.104.121.133(湖北-武汉),2,2,1,3,3,1,4,4,1,2,3,2,1,1,1,1,3,2,2,117,False,ISTJ,3
41,2026/5/25 12:07:08,43秒,手机提交,直接访问,111.181.27.169(湖北-鄂州),1,2,1,3,2,1,1,1,4,1,1,1,1,1,1,1,2,1,4,43,False,ISTJ,1
42,2026/5/25 12:09:30,101秒,微信,,117.154.99.239(湖北-武汉),2,2,1,3,3,2,2,2,4,2,1,2,1,1,1,2,2,3,2,101,False,ISTP,0
43,2026/5/25 12:12:42,138秒,手机提交,直接访问,111.181.144.127(湖北-恩施),1,2,1,3,3,2,2,3,2,2,1,2,1,1,1,1,2,2,2,138,False,ISTJ,3
44,2026/5/25 12:15:31,70秒,手机提交,直接访问,111.181.108.183(湖北-武汉),1,2,1,2,2,1,1,2,2,2,1,1,1,2,1,1,2,1,4,70,False,INTJ,1
45,2026/5/25 12:18:12,69秒,微信,,223.104.122.153(湖北-武汉),2,1,1,2,3,2,2,2,1,1,2,3,1,2,1,2,2,3,2,69,False,INTP,3
46,2026/5/25 12:20:20,155秒,微信,,27.27.175.41(湖北-襄阳),2,2,1,3,2,2,3,1,1,2,2,1,3,1,2,2,2,2,2,155,False,XSFP,2
47,2026/5/25 12:27:08,80秒,微信,,61.242.152.190(湖北-襄阳),1,2,1,3,2,2,1,1,2,1,1,2,2,1,1,1,2,2,4,80,False,ESTJ,1
48,2026/5/25 12:29:00,89秒,微信,,117.153.24.163(湖北-襄阳),1,2,1,2,3,1,1,1,1,2,3,1,3,1,1,1,3,1,2,89,False,XSTJ,1
49,2026/5/25 12:30:24,129秒,微信,,111.183.144.149(湖北-武汉),1,2,1,2,2,1,1,1,3,2,1,1,1,1,2,2,2,3,4,129,False,ISFP,1
50,2026/5/25 12:31:35,101秒,微信,,61.242.129.160(湖北-武汉),2,2,2,4,2,2,2,1,1,2,1,2,3,1,2,1,2,2,2,101,False,XSFJ,2
51,2026/5/25 13:18:43,144秒,微信,,111.183.62.28(湖北-武汉),1,3,1,4,1,3,3,1,3,4,2,1,2,1,2,2,2,2,2,144,False,ESFP,2
52,2026/5/25 13:20:44,111秒,手机提交,直接访问,223.160.119.40(湖北-武汉),2,1,1,3,2,2,2,3,1,2,2,3,3,2,2,2,3,2,3,111,False,XNFP,3
53,2026/5/25 13:54:59,92秒,微信,,223.104.119.133(湖北-咸宁),1,2,1,3,2,2,1,3,2,2,1,2,2,2,1,1,2,1,3,92,False,ENTJ,1
55,2026/5/25 14:00:29,231秒,手机提交,直接访问,223.104.153.3(江苏-常州),1,2,3,5,4,2,2,1,3,2,2,3,2,1,1,2,2,2,3,231,False,ESTP,0
56,2026/5/25 14:24:15,1315秒,微信,,111.183.104.81(湖北-武汉),1,2,1,4,2,2,3,2,3,2,1,2,1,1,2,2,4,2,4,1315,False,ISFP,3
57,2026/5/25 15:51:44,263秒,微信,,117.150.36.212(湖北-襄阳),1,2,1,2,3,2,1,1,2,2,1,2,1,1,1,1,2,3,2,263,False,ISTJ,1
58,2026/5/25 16:26:58,182秒,手机提交,直接访问,223.104.122.206(湖北-武汉),2,2,2,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,3,182,False,XNTJ,1
59,2026/5/27 15:31:59,1035秒,微信,,223.104.122.206(湖北-武汉),2,2,2,4,4,2,4,4,3,3,2,3,3,2,2,2,3,1,4,1035,False,XNFP,3
60,2026/5/27 23:00:03,59秒,微信,,223.104.119.152(湖北-咸宁),2,1,2,3,3,3,3,3,2,2,1,2,3,2,2,2,2,2,3,59,False,XNFP,3
61,2026/5/27 23:01:41,54秒,手机提交,直接访问,111.181.47.149(湖北-鄂州),2,2,2,3,1,4,3,3,3,3,3,3,3,1,2,1,3,3,3,54,False,XSFJ,3
62,2026/5/27 23:06:59,299秒,微信,,61.242.134.112(湖北-武汉),1,1,2,4,4,3,2,2,2,1,1,2,3,1,2,1,1,1,2,299,False,XSFJ,0
63,2026/5/27 23:07:35,89秒,微信,,175.2.179.42(湖南-娄底),2,2,2,2,2,1,2,3,2,1,1,2,3,1,2,1,2,2,2,89,False,XSFJ,1
64,2026/5/27 23:15:56,127秒,微信,,202.103.46.233(湖北-十堰),2,1,1,3,2,2,2,1,1,2,1,2,1,1,1,2,1,2,2,127,False,ISTP,2
65,2026/5/27 23:20:59,171秒,微信,,111.181.70.200(湖北-武汉),1,1,1,3,2,1,1,1,2,1,2,3,2,1,1,1,3,2,3,171,False,ESTJ,1
66,2026/5/28 0:03:17,104秒,手机提交,直接访问,111.181.22.144(湖北-鄂州),1,2,1,2,3,2,1,3,2,1,1,2,3,1,1,1,2,1,2,104,False,XSTJ,1
67,2026/5/28 0:36:31,116秒,手机提交,直接访问,61.242.153.0(湖北-襄阳),2,1,2,1,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,116,False,ISFP,1
68,2026/5/28 0:40:49,100秒,手机提交,直接访问,202.103.47.1(湖北-十堰),2,1,1,3,1,1,4,2,3,1,2,2,1,1,2,1,2,3,2,100,False,ISFJ,3
